Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bahamas, The",BHS,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778548015.6,740810142.1,720206449.8,729975275.5,651683080.9,730419033.2,725780184.4,747930716.1,895985733.5,777125168.2,640138627.2,706496366.1,461795693.1,581385464.3,881193270.5,773687483.2,946092597.6,847545625.8,409917900.4,816502288,771812382.2,1161000000,1306424495,1455599192,1377053297,1464766353,1144124092,1202981427,1272776851
Bahrain,BHR,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10785955656,11291488733,11299972795,11564813830,11732766344,11527047785,12552715038,13151652585,13436440474,13808515798,13893755356
Bangladesh,BGD,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,1819389415,1856391319,2351054227,2443198299,3324061184,3586196355,3442464663,2983861137,3532976007,3745749332,3773380688,3032350748,1616702393,2743382101,3308645398,2892016771,2847313484,3335512524,3488512162,4225740129,4064276672,4267866762,4412015891,4584043366,5025421668,5336416645,5705080745,6197251924,6390793766,6632311203,7116306135,7451548087,7972351929,8617648971,9318235324,10262579474,10953941405,11526337638,12532229755,13189082145,14014160969,15059852772,15933777508,16982490899,18179632835,19621708751,21544224144,23489199693,25141320550,26879383598,28769596138,31364363465,34323778957,37632371201,40703178048,44637915543,49589945624,54660318135
Barbados,BRB,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,481923404.5,472766859.8,544803037.7,532849139.9,585126715.7,621715742.7,649312966.4,642540849.7,599202317.3,619175727.9,634250000,604478312.5,640656565.7,633119429.6,676834818.8,714143642.3,682110814,650831699.3,567923202.6,575837195.5,582620617.9,619175727.9,653469697,702837938.2,684748811.6,703591651.8,700199940.6,695677658.9,727710487.2,723941919.2,743538473,796675282.2,806473559.1,803458704.7,764642454,665152257.9,634250000,641033422.5,605608882.9,577344622.7,571314913.8,569430629.8,586389186,
Belarus,BLR,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8355055830,8390133930,7686258236,6785968280,5607837685,4854081447,5017793097,5919200115,6560939853,7057647701,7468180417,7826633218,8372255972,9261189131,11005047114,12496722133,14264053314,15590638973,18013916439,18068632620,20252064451,21719022610,22161471031,21735853012,22062072367,20562371878,19602157748,20395798067
Belgium,BEL,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73092551449,74736116242,79660429808,81060155212,82847599120,87466192213,88391170650,88713497022,88873923365,93224788822,95047479506,97913266495,1.02E+11,1.02E+11,95825873558,1.00E+11,1.03E+11,1.02E+11,1.02E+11,1.05E+11,1.08E+11,1.09E+11,1.09E+11
Belize,BLZ,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,23744097.49,25219269.46,28673338.46,31259969.86,34858745.15,37075530.13,36882179.5,42498468.6,45709102.49,48319576.02,67047651.45,69628735.69,68184979.86,67071653.59,65929364.74,66564141.53,69275584.09,77494986.07,80270967.74,92049941.5,102195809.2,109227211.5,120677622.5,131162187.2,123717787.9,123387731.7,121173240.2,123169365.5,120629511.6,131833820.6,164532532.5,165450694.6,169051816.8,163221961.9,175267732.9,173758744.5,216666743.1,221459491.9,235932093.3,274262189,263095750,256054480.1,244413972.1,223629872.7,223437855.5,224816912.2,230689864.3,230953994.6
Benin,BEN,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,482036625.1,447103779.4,509938653.5,495457539.3,635477789.6,549264881.8,481300377.9,549933507.7,515449292.3,555806465.2,548704119.7,653501513,878213866,843898837.2,915071325,998952738.4,785436105.7,784165177.3,831189651.2,896057990.4,969531284.9,1013518451,1105266210,1085441656,1137910961,1182530583,1273541441,1318222885,1315749276,1338771413,1431527478,1528489108,1541339444,1535732024,1558862630,1634562794,1658861612,1620310602,1490405383,1494143663,1542974941,1515405129,1553021568,1688300564,1806290017,1988764794,2039983431,2239499906
Bermuda,BMU,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389574347.2,397675616.2,326467133,464076757.8,516978656.3,474105393.1,456381297.7,457602202.3,471287033.3,526272845.5,511707998.3,512016371.1,538601465.4,487928677.2,431873000,423608818,346960338.9,,,,,
Bhutan,BTN,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,21573050.46,36670320.35,39435146.41,50457573.22,51570289.07,48524996.28,61582944.62,116525655.6,115591675.8,126912999.6,125306000.8,122058706.5,140407448.3,142263886.5,152273676.1,176578165,182905923.3,181365369.3,189874263.9,218500610.9,234356348.1,264271591.1,308568229.4,338225414.8,345105707.4,358135487.7,389779704.6,548354154.5,582832322.9,602979868.6,678238543.7,705765753.1,753530957,782933095.6,811997716.6,878709887.9,938345652.3,997481040.8
Bolivia,BOL,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,2165414794,2361398945,2802211892,3124275403,3222583149,3315236497,3462404879,3648547315,3690303569,3531836282,2984059025,2884890294,2618451645,2588189857,2477982899,2296761531,2078211392,2153080171,2239439104,2418468795,2589939548,2699075758,2747613175,2896673790,3032160296,3244035153,3343317023,3467488003,3713021199,3640197978,3728773940,3736504875,3836607283,3870949929,4114930943,4381358914,4685174988,5013040171,5543412410,5703963704,5923173429,6211416650,6534653687,7026717348,7394665784,7588493552,7892667822,8070194247
Bosnia and Herzegovina,BIH,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314788244,3648689781,3985311438,3794629783,3846191508,3834649556,3741596126,3882590370,3953336832,4095186091,4289278797,4417060473
Botswana,BWA,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,20666616.42,20219766.81,20890041.23,19326086.34,29003481.68,48139837.98,45985399.23,48643176.98,44605564.84,95472239.84,162790252.4,201394340.6,254513593.2,308576224.1,336334143.9,405173899.1,458323056.7,561042954.2,677975776.2,750778681.1,910973160.8,1071142876,1310832555,1605686980,1739498816,1800400339,1928716683,2096268009,2439197284,2697626730,2802257005,2931508302,2878131705,2854046909,2926904371,3135733116,3115077249,3319853618,3269217666,3487314347,3724641059,3739762429,4216667173,4294074704,4244777312,4484042711,4833807877,4930881368,4935194054,3601214565,4073994627,4133436057,4145880138,4803658867,4791795064,4363925208,4413826573,4230362706
Brazil,BRA,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,80248148724,88596567327,91069358014,1.03E+11,1.16E+11,1.26E+11,1.41E+11,1.61E+11,1.89E+11,2.05E+11,2.14E+11,2.39E+11,2.47E+11,2.75E+11,2.93E+11,3.20E+11,2.92E+11,2.92E+11,2.75E+11,2.93E+11,3.17E+11,3.55E+11,3.59E+11,3.49E+11,3.59E+11,3.30E+11,3.16E+11,3.03E+11,3.27E+11,3.53E+11,3.70E+11,3.66E+11,3.82E+11,3.74E+11,3.65E+11,3.81E+11,3.78E+11,3.93E+11,3.93E+11,4.25E+11,4.34E+11,4.43E+11,4.70E+11,4.89E+11,4.66E+11,5.14E+11,5.35E+11,5.31E+11,5.43E+11,5.35E+11,5.04E+11,4.84E+11,4.84E+11
British Virgin Islands,VGB,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7956884122,7933956729,8361096883,8805809901,8717161496,9037175064,9521380198,9964472241,9359388999,9334673121,9670420975,9958594939,10041367143,10492662560,10857988339,10798648478,10605305831,10908252219,10300356876,9739932087,9251317858,9411074441,9716171617,9581224789,9041437477,8646131280,8643931060,8389597611,8516655348
Bulgaria,BGR,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,24448447799,25785213830,28195243613,30349122499,32209923810,33850722374,35608562743,37522095848,41242134772,41640208155,36435182127,29658238226,27760110951,26038984117,27601323172,26110851686,6877373767,6682073076,7500007649,7095006668,7898873169,8315351716,8722912337,9346263088,9726649802,10228268534,11147047011,12582043970,13294861847,12836271684,12049856505,12542751031,12506916678,12755226814,12798161163,13330470735,13857688846,14328877264
Burkina Faso,BFA,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,366711406.9,381368300.5,389064951.8,439953579.6,388550418.1,470081094.1,520724559,432637858.3,465774658.4,452172328.9,470932835.9,464654834.2,501345737.2,505271657,514104977,542580874.8,597419124.3,647423150.1,641267752.6,637785767.8,686443077.3,687307843.8,715919830.8,753678368.1,719288047.6,720714843.3,714444527.3,860179715.5,897548118.4,1222435644,1087886636,1115189558,1140986439,1342896320,1370710060,1405856549,1484372209,1629772833,1561883288,1723372100,1887194439,2295500148,2103104828,2121303896,2444829960,2427095138,2520440110,2783437311
Burundi,BDI,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,153025377.7,161636432,157877067.9,160817665.7,166710069.2,167755058,185108124.4,230340830.2,256636912.2,258719221.3,284931244,312213620.8,341082799.5,352157969.7,357584950.6,390869450.3,396042778.7,425392717.3,427755223.7,430831496,463092537.8,506065968,549435809.2,472404908.7,385151722.1,321255051.3,333719747.4,330212847.7,324962463.4,339878240.5,318703310.1,298847610.1,280228950.4,262770261.4,246399275.1,250220728.1,263658449.1,285166494.6,281128256,294993279.4,309446143,327671976.1,341138821.7,379443465.8,409615108.2,353798388.5,348326509.8,
Cabo Verde,CPV,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,43573787.93,48787043.01,48242609.73,58033286.31,57327186.37,66336998.58,67693665.86,75438462.28,77864116.67,86007693.77,86952091.63,89504965.14,103403015.6,107197809,127462569.6,137036513.9,156904211.2,158620814,176977399,180939962,195516156,178200156.4,188957456.4,191203997.7,205104645.4,228020059.6,245898634,279933594.2,331496425.3,313535047.2,302050878,305885071.2,296054506.1,303311897.8,323406623.2,315481119,330390576.7,359534118.1
Cambodia,KHM,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334622167.2,382163004.7,454420733.6,474350736.8,554096931.5,588492221.1,713168942.9,935596191.5,1040373320,1217949359,1364670839,1591269811,1793275698,2120889926,2299145474,2392128067,2165037819,2458530947,2814486906,3077266474,3407338868,3751078612,4190987190,4632892410,5089560970
Cameroon,CMR,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,953262044.2,1003483377,1016519368,1138914023,1213333723,1197521823,1341907923,1295924139,1350127736,1423311431,1475298382,1588551243,1879844309,2076138694,2982573478,3246725373,4242814494,5006136709,5924440261,6215960087,6752990320,7164376463,7201233237,6690944173,6536977545,6092463054,5690360692,5098563098,4591703289,4455403778,4307926496,4257236173,4176542525,4530000978,4875375535,5021234154,5067873444,5470416013,5482523181,5585996872,6461089870,6837409446,7054466267,7223414753,7192611895,7105355185,7344478955,7719798947,8251811590,8707268298,9539201174,9840370070,10031019572
Canada,CAN,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57E+11,4.49E+11,4.05E+11,4.31E+11,4.51E+11,4.61E+11,4.72E+11,4.92E+11,4.83E+11,4.79E+11,5.02E+11
