Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bahamas, The",BHS,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,13.9623369,14.72157478,15.39008612,16.76530945,17.79672695,18.61804089,19.88980413,20.9801143,23.7226025,26.18017753,27.2943631,28.16501954,29.8856404,32.6026615,36.54687842,40.60888067,43.05053877,44.77256032,46.54839504,48.69195312,51.33776748,54.29300759,56.68320937,59.73710697,62.52642313,66.9749788,70.81813627,72.74644165,73.76440752,75.2891141,76.32745444,76.74279057,77.76854497,78.74395559,80.00884292,81.64501557,83.41963361,85.94311528,86.78700279,88.16831009,90.27537954,92.52556374,96.6795544,98.67379715,100,103.1987814,105.2352727,105.9955079,107.5928587,109.6029778,109.2233384,110.8815748
Bahrain,BHR,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,17.96565475,18.34912657,19.1304504,19.75359211,19.71524493,20.03640258,21.19640483,22.27491932,25.46732222,31.6795657,36.79891449,45.0771124,53.06978969,61.4471413,62.80266029,65.23282496,72.63322594,79.08720601,81.43799344,81.70054893,79.54694754,77.72047547,76.36425181,76.59596842,77.73410586,78.45651645,79.05625355,78.91994966,80.92361678,81.58469062,83.79076901,83.41184421,85.44004602,85.12687932,84.03079586,83.43850231,82.43092249,82.02244418,83.32957477,85.29027064,87.4960535,89.25251023,92.15916698,95.40870212,98.07586463,100,99.59851301,102.3457249,105.7241636,108.5219331,110.5182156,113.6133829,115.1895911
Bangladesh,BGD,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,24.28000283,26.67757932,28.65512584,30.38746567,32.24922014,34.29942049,35.54588781,36.61753185,38.56329232,42.53446758,43.54556676,45.85592081,49.70884439,52.74441235,53.90914412,54.9911943,56.82381156,60.04498736,64.60092262,69.15310297,73.83149099,80.55531378,87.72630342,92.48411524,100,111.3329152,118.2557989,127.1604284,136.0504242,144.4777687,152.3242664,161.136028
Barbados,BRB,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,6.13836209,6.361483889,6.83787908,7.236885179,7.764035554,8.34395122,9.334933622,10.90834432,15.15419134,18.22965397,19.13872454,20.73726157,22.70364805,25.69368116,29.40141288,33.68448229,37.16492012,39.10875648,40.94131354,42.54420906,43.11007616,44.53776596,46.70179329,49.59268757,51.11745081,54.3161389,57.62610631,58.26773804,58.31272329,59.40833936,60.82591277,65.51591837,64.68459565,65.69371571,67.2938918,69.02861723,69.1150752,70.23434767,71.21371109,75.54506238,81.06564067,84.33601492,91.17407019,94.49632739,100,109.4322024,114.3931445,116.4683555,118.5292668,117.210285,118.7128367,124.245074
Belarus,BLR,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Consumer price index (2010 = 100),FP.CPI.TOTL,15.59608125,15.75089984,15.97213809,16.31522016,16.99536263,17.68625834,18.42454425,18.92759007,19.43890942,20.16864458,20.95693049,21.8672217,23.05864225,24.66243541,27.78911128,31.3372802,34.17913586,36.60448755,38.24092532,39.94994438,42.60609165,45.85586557,49.85750018,53.67738732,57.0814864,59.86063213,60.63544911,61.57734964,62.2922226,64.22767351,66.4424442,68.57877521,70.24383747,72.1786523,73.89472924,74.97947947,76.53681906,77.78296131,78.5213163,79.40142109,81.42180435,83.43231895,84.80495945,86.15247972,87.95934113,90.40587095,92.02522788,93.70289959,97.90963899,97.85760425,100,103.5320821,106.4720448,107.6571808,108.0232183,108.6296921,110.7738822,113.1289026
Belize,BLZ,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,39.79184676,44.25827854,47.2851166,49.6475268,51.3270528,54.52840634,54.96450899,56.07034071,57.83032641,59.06075888,60.86746986,61.33125046,62.80117699,63.72598521,65.36332438,67.25207335,71.26367364,72.08252002,73.66492055,75.59596927,77.91483002,78.81010069,80.54018927,82.65146597,85.18674982,88.29727403,92.04131385,94.17490767,100.1968572,99.0903728,100,101.6020822,102.9234993,103.4481496,104.6909753,103.7889643,104.4751841,105.677036
Benin,BEN,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38601045,38.55513891,53.41076789,61.13532595,64.13966242,66.36293292,70.18100121,70.41029861,73.3431723,76.265381,78.16375015,79.32623464,80.01945933,84.31211991,87.50095349,88.63677549,95.68100485,97.74468143,100,102.7209085,109.6488348,110.6247189,109.5117857,109.8114842,108.879901,108.9659933
Bermuda,BMU,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,,13.94178663,15.32664413,16.84466101,19.88069478,21.27886822,21.67834635,23.83552823,25.35354511,27.91020513,30.36033764,33.3963714,37.49768017,43.48985207,48.36348522,51.74573336,56.65931432,61.63947496,65.65423014,72.59849158,77.5187305,80.62800192,83.37774303,85.44837132,86.78662305,71.07075448,74.84568688,78.58831131,82.64041218,89.52201194,93.42617627,100,108.8489857,120.7349215,129.194415,139.8801638,146.242115,152.545397,158.4309035
